OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_96	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	?
OTU_4000	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-004	?
OTU_171	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	?
OTU_753	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	?	uncultured Clostridiales bacterium
OTU_18	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	?
OTU_3633	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	?	?
OTU_5	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 9	gut metagenome
OTU_296	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	?
OTU_107	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] ventriosum group	human gut metagenome
OTU_703	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodopseudomonas	?
OTU_482	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	?	?
OTU_159	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	?	?
OTU_32	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	?
OTU_411	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XIII	[Eubacterium] brachy group	?
OTU_68	Bacteria	Tenericutes	Mollicutes	Mollicutes RF39	?	?	?
OTU_498	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XIII	S5-A14a	?
OTU_80	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus 2	?
OTU_556	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	?
OTU_582	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium] coprostanoligenes group	?
OTU_21	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
OTU_452	Bacteria	Tenericutes	Mollicutes	Mollicutes RF39	?	?	?
OTU_355	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-002	?
OTU_595	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	?
OTU_179	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	?
OTU_1882	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus 2	?
OTU_3859	Eukaryota	?	?	?	?	?	?
OTU_2664	Bacteria	Firmicutes	Clostridia	?	?	?	?
OTU_1141	Eukaryota	Vertebrata	?	?	?	?	?
OTU_326	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU_2306	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU_88	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	?
OTU_70	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	?	?
OTU_43	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	uncultured organism
OTU_1557	Bacteria	Firmicutes	Clostridia	?	?	?	?
OTU_1710	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	?
OTU_139	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-013	?
OTU_524	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU_471	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Papillibacter	?
OTU_48	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU_1835	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
OTU_1693	Bacteria	Firmicutes	Erysipelotrichia	?	?	?	?
OTU_240	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	?
OTU_1922	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides dorei
OTU_824	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	[Clostridium] innocuum group	?
OTU_4172	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	?
OTU_364	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	?
